Device,Frequency (Monobit) test,Frequency Test within a Block,Runs Test,Test for the Longest Run of Ones in a Block,Binary Matrix Rank Test,Non-overlapping Template Matching Test,Overlapping Template Matching Test,Maurer’s “Universal Statistical” Test,Linear Complexity Test,Serial Test,Approximate Entropy Test,Cumulative Sums (Cusum) Test,Random Excursions Test,Random Excursions Variant Test
MacOS Classic,0.0002155994669548283,0.0036178838729885514,0.010095372443127859,0.031158984389575477,Error,Error,Error,Error,Error,Error,0.00022452662127184125,F: 0.0003536691408034809;R: 0.00043119893390985986,Error,Error
MacOS Strict,0.0002155994669548283,0.0036178838729885514,0.010095372443127859,0.031158984389575477,Error,Error,Error,Error,Error,Error,0.00022452662127184125,F: 0.0003536691408034809;R: 0.00043119893390985986,Error,Error
Win10 Classic,0.012738072274857348,0.03877420783172202,0.00020836041404425455,0.0017284109767719048,Error,Error,Error,Error,Error,Error,3.5361605964654734e-8;F: 0.013156827225651035,R: 1,Error,Error
Win10 Strict,0.013309863305582814,0.12958614183372202,0.0047860659225257285,0.002344291274639768,Error,Error,Error,Error,Error,Error,0.002562826854260251,F: 0.020083773181868936;R: 0.5133098633054711,Error,Error
Win11 Classic,0.010041886590945848,0.10860873746433161,0.1802381120500124,0.007236408016060312,Error,Error,Error,Error,Error,Error,0.000007871579279935213;F: 0.0173863207154481,R: 1,Error,Error
Win11 Strict,0.001212529627515311,0.017283596250517327,0.3528855112682324,0.015066404353124521,Error,Error,Error,Error,Error,Error,0.00006441662724091891;F: 0.001712291372842012,R: 0.5012125296275154,Error,Error
Ubuntu Classic,0.10829365589900919,0.0990134083638263,0.009918617010488462,0.029498579864208327,Error,Error,Error,Error,Error,Error,0.000014690752710125047;F: 0.13291476660882573,R: 0.6082922038952927,Error,Error
Ubuntu Strict,0.021448220043351895,0.1463091138304155,0.000024396265392559022,0.0019790415781363096,Error,Error,Error,Error,Error,Error,0.000023844628496663286;F: 0.0327901436971789,R: 0.5187734110678877,Error,Error
